method,reference_method,metric,independent_unit,independent_unit_count,paired_mean_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,confidence,unadjusted_permutation_p_value,inference_label,benjamini_hochberg_p_value
ligandmpnn,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.05078125,0.0390625,0.0625,2000,0.95,0.5,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,-0.01851851851851853,-0.05185185185185187,0.014814814814814808,2000,0.95,1.0,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,model_agreement,seed,2,0.18807870370370366,-0.00810185185185186,0.3842592592592592,2000,0.95,1.0,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,candidate_diversity,seed,2,-0.0219907407407407,-0.0219907407407407,-0.0219907407407407,2000,0.95,0.5,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,conditional_log_likelihood,seed,2,-1395.9025470810593,-1428.413133363647,-1363.3919607984717,2000,0.95,0.5,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,perplexity,seed,2,31.247399626420034,30.157075202688805,32.33772405015126,2000,0.95,0.5,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,parent_identity,seed,2,0.009837962962962951,0.005787037037037007,0.013888888888888895,2000,0.95,0.5,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,designed_position_identity,seed,2,0.00988372093023257,0.005813953488372103,0.013953488372093037,2000,0.95,0.5,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,maximum_atlas_identity,seed,1,-0.032999999999999974,-0.032999999999999974,-0.032999999999999974,2000,0.95,1.0,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,low_complexity_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,buried_core_recovery,seed,2,-0.05138339920948616,-0.06521739130434781,-0.03754940711462451,2000,0.95,0.5,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.01953125,-0.0078125,0.046875,2000,0.95,1.0,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,0.0111111111111111,-0.007407407407407418,0.029629629629629617,2000,0.95,1.0,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,model_agreement,seed,2,-0.322337962962963,-0.494212962962963,-0.15046296296296297,2000,0.95,0.5,low_power_descriptive,1.0
matched_random_mutation,unconstrained_esm_if1,candidate_diversity,seed,2,0.12384259259259256,0.12384259259259256,0.12384259259259256,2000,0.95,0.5,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,conditional_log_likelihood,seed,2,-964.6975052824419,-990.0926939226338,-939.3023166422499,2000,0.95,0.5,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,perplexity,seed,2,15.921014143026122,15.417325002056014,16.42470328399623,2000,0.95,0.5,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,parent_identity,seed,2,0.006944444444444434,-0.0034722222222222376,0.017361111111111105,2000,0.95,1.0,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,designed_position_identity,seed,2,0.0069767441860465185,-0.0034883720930232454,0.017441860465116282,2000,0.95,1.0,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,maximum_atlas_identity,seed,1,-0.014999999999999958,-0.014999999999999958,-0.014999999999999958,2000,0.95,1.0,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,low_complexity_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,buried_core_recovery,seed,2,0.015810276679841917,0.009881422924901184,0.02173913043478265,2000,0.95,0.5,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.21875,0.203125,0.234375,2000,0.95,0.5,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,0.04444444444444445,0.037037037037037035,0.05185185185185187,2000,0.95,0.5,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,model_agreement,seed,2,-0.2731481481481482,-0.45486111111111116,-0.0914351851851852,2000,0.95,0.5,low_power_descriptive,1.0
msa_profile_sampling,unconstrained_esm_if1,candidate_diversity,seed,2,0.04629629629629628,0.04629629629629628,0.04629629629629628,2000,0.95,0.5,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,conditional_log_likelihood,seed,2,-527.297866996727,-546.2644395946409,-508.33129439881304,2000,0.95,0.5,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,perplexity,seed,2,6.524164857031297,6.1323409969672555,6.915988717095339,2000,0.95,0.5,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,parent_identity,seed,2,-0.0034722222222222238,-0.0034722222222222376,-0.00347222222222221,2000,0.95,0.5,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,designed_position_identity,seed,2,-0.0034883720930232454,-0.0034883720930232454,-0.0034883720930232454,2000,0.95,0.5,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,maximum_atlas_identity,seed,1,-0.04299999999999998,-0.04299999999999998,-0.04299999999999998,2000,0.95,1.0,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,low_complexity_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,buried_core_recovery,seed,2,-0.00790513833992093,-0.009881422924901184,-0.005928853754940677,2000,0.95,0.5,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,rna_interface_recovery,seed,2,-0.01171875,-0.015625,-0.0078125,2000,0.95,0.5,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,-0.003703703703703723,-0.03703703703703706,0.029629629629629617,2000,0.95,1.0,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,model_agreement,seed,2,-0.1776620370370371,-0.37037037037037046,0.015046296296296308,2000,0.95,1.0,low_power_descriptive,1.0
proteinmpnn,unconstrained_esm_if1,candidate_diversity,seed,2,0.02430555555555558,0.02430555555555558,0.02430555555555558,2000,0.95,0.5,low_power_descriptive,1.0
